id,text,created_at,username,user_name,retweet_count,like_count,lang,keyword,cleaned_text,preprocessing_timestamp,original_length,cleaned_length
demo_tweet_0,I love using GPT-4! It's amazing for coding assistance.,2025-09-20 22:36:26.638649,demo_user_0,Demo User 0,80,412,en,Copilot,love using gpt4 its amazing for coding assistance,2025-09-30 22:36:26.801157,55,49
demo_tweet_1,ChatGPT is helpful but sometimes gives wrong information.,2025-09-27 22:36:26.671763,demo_user_1,Demo User 1,42,403,en,Copilot,chatgpt is helpful but sometimes gives wrong information,2025-09-30 22:36:26.801157,57,56
demo_tweet_2,GitHub Copilot saves me so much time when programming.,2025-09-04 22:36:26.671834,demo_user_2,Demo User 2,94,28,en,ChatGPT,github copilot saves me so much time when programming,2025-09-30 22:36:26.801157,54,53
demo_tweet_3,Gemini is decent but I still prefer GPT for most tasks.,2025-09-29 22:36:26.671864,demo_user_3,Demo User 3,78,22,en,ChatGPT,gemini is decent but still prefer gpt for most tasks,2025-09-30 22:36:26.801157,55,52
demo_tweet_4,The new GPT-4o model is incredibly fast and accurate.,2025-09-02 22:36:26.671887,demo_user_4,Demo User 4,82,403,en,ChatGPT,the new gpt4o model is incredibly fast and accurate,2025-09-30 22:36:26.801157,53,51
demo_tweet_5,Sora AI video generation is mind-blowing technology.,2025-09-23 22:36:26.671908,demo_user_5,Demo User 5,71,430,en,Copilot,sora ai video generation is mindblowing technology,2025-09-30 22:36:26.801157,52,50
demo_tweet_6,Llama 3 open source model is surprisingly good.,2025-09-15 22:36:26.671928,demo_user_6,Demo User 6,5,138,en,GPT,llama open source model is surprisingly good,2025-09-30 22:36:26.801157,47,44
demo_tweet_7,Claude is great for writing and analysis tasks.,2025-09-29 22:36:26.671948,demo_user_7,Demo User 7,18,111,en,ChatGPT,claude is great for writing and analysis tasks,2025-09-30 22:36:26.801157,47,46
demo_tweet_8,AI copilots are game changers for developers.,2025-09-14 22:36:26.671967,demo_user_8,Demo User 8,22,354,en,GPT,ai copilots are game changers for developers,2025-09-30 22:36:26.801157,45,44
demo_tweet_9,These AI tools are making everyone more productive.,2025-09-12 22:36:26.671987,demo_user_9,Demo User 9,83,288,en,ChatGPT,these ai tools are making everyone more productive,2025-09-30 22:36:26.801157,51,50
